id,category,distance,nodes,strnodes
36,primary,362.77523921472505,"[u'2614586200', u'1246571058']",^31.2829588^121.2162535^31.280268^121.21408600000001
37,primary,362.7752392147095,"[u'1246571058', u'2614586200']",^31.280268^121.21408600000001^31.2829588^121.2162535
38,primary,469.2767291623017,"[u'1246570903', u'1246570858', u'1246571066', u'1246570952', u'1246571027', u'1246570998', u'1246570817', u'1246570985', u'3880367468', u'1246571019', u'1246570905', u'1759598037']",^31.285589899999998^121.21831920000001^31.285915799999998^121.21847^31.286206699999997^121.2185817^31.286516600000002^121.21867590000001^31.286887699999998^121.2187723^31.2872305^121.2188305^31.2875483^121.21887^31.2878685^121.2188956^31.287950199999997^121.21889640000002^31.2881826^121.21889879999999^31.2884952^121.2188845^31.289752500000002^121.21877109999998
39,primary,469.27672916214965,"[u'1759598037', u'1246570905', u'1246571019', u'3880367468', u'1246570985', u'1246570817', u'1246570998', u'1246571027', u'1246570952', u'1246571066', u'1246570858', u'1246570903']",^31.289752500000002^121.21877109999998^31.2884952^121.2188845^31.2881826^121.21889879999999^31.287950199999997^121.21889640000002^31.2878685^121.2188956^31.2875483^121.21887^31.2872305^121.2188305^31.286887699999998^121.2187723^31.286516600000002^121.21867590000001^31.286206699999997^121.2185817^31.285915799999998^121.21847^31.285589899999998^121.21831920000001
40,primary,76.24293265461017,"[u'1759598037', u'1246570915']",^31.289752500000002^121.21877109999998^31.2904381^121.21870929999999
41,primary,76.24293265494963,"[u'1246570915', u'1759598037']",^31.2904381^121.21870929999999^31.289752500000002^121.21877109999998
42,primary,73.23043135885563,"[u'1246570865', u'1759597941']",^31.2904294^121.2186003^31.289771000000002^121.2186613
43,primary,73.2304313592434,"[u'1759597941', u'1246570865']",^31.289771000000002^121.2186613^31.2904294^121.2186003
44,primary,471.58662453376746,"[u'1759597941', u'625789923', u'1246570910', u'3880367467', u'1246570883', u'1246571082', u'1246571065', u'1246571088', u'1246570853', u'625789925', u'1246570803']",^31.289771000000002^121.2186613^31.2884885^121.21878020000001^31.288178100000003^121.2187918^31.287954700000004^121.21878899999999^31.2878668^121.21878819999999^31.287553499999998^121.2187666^31.2872386^121.21872309999999^31.2869044^121.21866979999999^31.286534600000003^121.21856890000001^31.285942300000002^121.21836709999998^31.285590399999997^121.21820109999999
45,primary,471.58662453423483,"[u'1246570803', u'625789925', u'1246570853', u'1246571088', u'1246571065', u'1246571082', u'1246570883', u'3880367467', u'1246570910', u'625789923', u'1759597941']",^31.285590399999997^121.21820109999999^31.285942300000002^121.21836709999998^31.286534600000003^121.21856890000001^31.2869044^121.21866979999999^31.2872386^121.21872309999999^31.287553499999998^121.2187666^31.2878668^121.21878819999999^31.287954700000004^121.21878899999999^31.288178100000003^121.2187918^31.2884885^121.21878020000001^31.289771000000002^121.2186613
46,primary,27.783242064850022,"[u'1246570891', u'1246571050']",^31.2800158^121.21402590000001^31.280222700000003^121.2141905
47,primary,27.783242065020307,"[u'1246571050', u'1246570891']",^31.280222700000003^121.2141905^31.2800158^121.21402590000001
48,primary,20.617532157433036,"[u'1246570915', u'1246570837']",^31.2904381^121.21870929999999^31.2906235^121.2186926
49,primary,20.617532157968505,"[u'1246570837', u'1246570915']",^31.2906235^121.2186926^31.2904381^121.21870929999999
50,primary,223.81427392598218,"[u'1246570837', u'1759597726']",^31.2906235^121.2186926^31.2926359^121.2185081
51,primary,223.8142739257929,"[u'1759597726', u'1246570837']",^31.2926359^121.2185081^31.2906235^121.2186926
52,primary,14.27427563347506,"[u'1759597726', u'3459234286']",^31.2926359^121.2185081^31.292764399999996^121.2184989
53,primary,14.274275633066845,"[u'3459234286', u'1759597726']",^31.292764399999996^121.2184989^31.2926359^121.2185081
54,primary,230.07896327790837,"[u'3459234286', u'1246570875']",^31.292764399999996^121.2184989^31.294833299999997^121.2183118
55,primary,230.0789632778705,"[u'1246570875', u'3459234286']",^31.294833299999997^121.2183118^31.292764399999996^121.2184989
56,primary,24.534955308160647,"[u'1246570803', u'1246570930']",^31.285590399999997^121.21820109999999^31.285388899999997^121.2180946
57,primary,24.534955308565344,"[u'1246570930', u'1246570803']",^31.285388899999997^121.2180946^31.285590399999997^121.21820109999999
58,primary,229.52129744069728,"[u'1246570947', u'3459234288']",^31.294831800000004^121.21820829999999^31.292767699999995^121.21839170000001
59,primary,229.52129744079463,"[u'3459234288', u'1246570947']",^31.292767699999995^121.21839170000001^31.294831800000004^121.21820829999999
60,primary,14.733769171844651,"[u'3459234288', u'1759597674']",^31.292767699999995^121.21839170000001^31.292635200000003^121.2184035
61,primary,14.733769171748605,"[u'1759597674', u'3459234288']",^31.292635200000003^121.2184035^31.292767699999995^121.21839170000001
62,primary,224.41788637885017,"[u'1759597674', u'368906068']",^31.292635200000003^121.2184035^31.290616999999997^121.21858290000002
63,primary,224.4178863788173,"[u'368906068', u'1759597674']",^31.290616999999997^121.21858290000002^31.292635200000003^121.2184035
64,primary,18.237649014964894,"[u'1187044987', u'1187044749']",^31.2790962^121.2132844^31.279227799999997^121.2133993
65,primary,18.237649014783734,"[u'1187044749', u'1187044987']",^31.279227799999997^121.2133993^31.2790962^121.2132844
66,primary,105.79961213658777,"[u'1187044749', u'1246570891']",^31.279227799999997^121.2133993^31.2800158^121.21402590000001
67,primary,105.79961213683178,"[u'1246570891', u'1187044749']",^31.2800158^121.21402590000001^31.279227799999997^121.2133993
68,primary,23.189546701341,"[u'1246570826', u'1246570903']",^31.285399699999996^121.2182179^31.285589899999998^121.21831920000001
69,primary,23.18954670146948,"[u'1246570903', u'1246570826']",^31.285589899999998^121.21831920000001^31.285399699999996^121.2182179
70,tertiary,481.3678016106096,"[u'1455057526', u'1455057529', u'1455057530', u'1455057533', u'1455057540', u'1455057542', u'1455057543', u'1827278617', u'1455069224']",^31.275636100000003^121.20581100000001^31.2757265^121.2057866^31.275817^121.2057662^31.2759978^121.2057459^31.276192600000005^121.20575^31.2764083^121.2057744^31.2766517^121.20581920000001^31.2797554^121.2064707^31.279916399999998^121.2065021
71,tertiary,481.3678016110232,"[u'1455069224', u'1827278617', u'1455057543', u'1455057542', u'1455057540', u'1455057533', u'1455057530', u'1455057529', u'1455057526']",^31.279916399999998^121.2065021^31.2797554^121.2064707^31.2766517^121.20581920000001^31.2764083^121.2057744^31.276192600000005^121.20575^31.2759978^121.2057459^31.275817^121.2057662^31.2757265^121.2057866^31.275636100000003^121.20581100000001
72,residential,583.8234378982205,"[u'1455069224', u'1455069223']",^31.279916399999998^121.2065021^31.2775729^121.21199240000001
73,residential,583.8234378981796,"[u'1455069223', u'1455069224']",^31.2775729^121.21199240000001^31.279916399999998^121.2065021
74,residential,39.19664917770683,"[u'1455069215', u'1455069216', u'1455069217']",^31.2806351^121.2040274^31.280634000000003^121.204242^31.2806229^121.20443859999999
75,residential,39.196649177690986,"[u'1455069217', u'1455069216', u'1455069215']",^31.2806229^121.20443859999999^31.280634000000003^121.204242^31.2806351^121.2040274
76,residential,212.8161630914674,"[u'1455069217', u'1455069218', u'1455069220', u'1455069221', u'1455069222', u'1455069224']",^31.2806229^121.20443859999999^31.2805941^121.2046514^31.280552^121.2048642^31.280494300000004^121.20509779999999^31.2804033^121.2053652^31.279916399999998^121.2065021
77,residential,212.81616309150425,"[u'1455069224', u'1455069222', u'1455069221', u'1455069220', u'1455069218', u'1455069217']",^31.279916399999998^121.2065021^31.2804033^121.2053652^31.280494300000004^121.20509779999999^31.280552^121.2048642^31.2805941^121.2046514^31.2806229^121.20443859999999
78,residential,884.5081589212621,"[u'1455069190', u'1455069192', u'1455069193', u'1455069194', u'1455069195', u'1455069196', u'1455069197', u'1827278599', u'1827278608', u'1827278610', u'1455069198', u'1827287143', u'1455069199', u'1455069200', u'1455069201', u'1455069202', u'1455069203', u'1455069204', u'1455069205', u'1455069207', u'1455069208', u'1455069209', u'1455069210', u'1455069211', u'1455069212', u'1455069213', u'1455069214', u'1455069215']",^31.274337^121.1996078^31.2744105^121.19960060000001^31.2745125^121.19959909999999^31.2745934^121.19960729999998^31.274674800000003^121.1996209^31.274761100000003^121.1996404^31.274855699999996^121.1996675^31.276873900000002^121.20035940000001^31.276965999999998^121.200391^31.277036699999996^121.2004152^31.277715899999997^121.2006481^31.277821399999997^121.2006866^31.2780287^121.2007623^31.2784036^121.20091540000001^31.278989199999998^121.20118529999999^31.2792066^121.20130470000001^31.2794262^121.20145009999999^31.2796081^121.2016006^31.2798122^121.20180570000001^31.279985200000002^121.2020237^31.280169300000004^121.2022962^31.280302399999997^121.20255320000001^31.280395600000002^121.20279450000001^31.280473200000003^121.2030255^31.2805464^121.20327990000001^31.280597399999998^121.2035446^31.280624^121.20378600000001^31.2806351^121.2040274
79,residential,884.5081589214208,"[u'1455069215', u'1455069214', u'1455069213', u'1455069212', u'1455069211', u'1455069210', u'1455069209', u'1455069208', u'1455069207', u'1455069205', u'1455069204', u'1455069203', u'1455069202', u'1455069201', u'1455069200', u'1455069199', u'1827287143', u'1455069198', u'1827278610', u'1827278608', u'1827278599', u'1455069197', u'1455069196', u'1455069195', u'1455069194', u'1455069193', u'1455069192', u'1455069190']",^31.2806351^121.2040274^31.280624^121.20378600000001^31.280597399999998^121.2035446^31.2805464^121.20327990000001^31.280473200000003^121.2030255^31.280395600000002^121.20279450000001^31.280302399999997^121.20255320000001^31.280169300000004^121.2022962^31.279985200000002^121.2020237^31.2798122^121.20180570000001^31.2796081^121.2016006^31.2794262^121.20145009999999^31.2792066^121.20130470000001^31.278989199999998^121.20118529999999^31.2784036^121.20091540000001^31.2780287^121.2007623^31.277821399999997^121.2006866^31.277715899999997^121.2006481^31.277036699999996^121.2004152^31.276965999999998^121.200391^31.276873900000002^121.20035940000001^31.274855699999996^121.1996675^31.274761100000003^121.1996404^31.274674800000003^121.1996209^31.2745934^121.19960729999998^31.2745125^121.19959909999999^31.2744105^121.19960060000001^31.274337^121.1996078
80,footway,54.62916013844964,"[u'1486844876', u'1486844873', u'1486844870', u'1486844869', u'1486844864']",^31.2860331^121.21182320000001^31.285916600000004^121.211735^31.285867200000002^121.2117244^31.2858178^121.211735^31.285636699999998^121.2119412
81,footway,54.62916013849697,"[u'1486844864', u'1486844869', u'1486844870', u'1486844873', u'1486844876']",^31.285636699999998^121.2119412^31.2858178^121.211735^31.285867200000002^121.2117244^31.285916600000004^121.211735^31.2860331^121.21182320000001
82,footway,67.38273800981605,"[u'1486844864', u'1486844854', u'1486844850', u'1486844846', u'1486844845', u'1486844838']",^31.285636699999998^121.2119412^31.285507199999998^121.21199969999999^31.2853342^121.212042^31.2852566^121.2120915^31.285200099999997^121.21217620000002^31.2851401^121.21228559999999
83,footway,67.38273801002765,"[u'1486844838', u'1486844845', u'1486844846', u'1486844850', u'1486844854', u'1486844864']",^31.2851401^121.21228559999999^31.285200099999997^121.21217620000002^31.2852566^121.2120915^31.2853342^121.212042^31.285507199999998^121.21199969999999^31.285636699999998^121.2119412
84,footway,47.91581555283256,"[u'1486844838', u'1486844841']",^31.2851401^121.21228559999999^31.2851365^121.2127888
85,footway,47.91581555283771,"[u'1486844841', u'1486844838']",^31.2851365^121.2127888^31.2851401^121.21228559999999
86,footway,74.65505805480346,"[u'1486844894', u'1486844891', u'1486844890', u'1486844888', u'1486844889', u'1486844886']",^31.286474300000002^121.2097821^31.2864203^121.2099117^31.2863815^121.21005990000002^31.286363800000004^121.21020109999999^31.286360300000002^121.2103529^31.286344300000003^121.2105425
87,footway,74.6550580547772,"[u'1486844886', u'1486844889', u'1486844888', u'1486844890', u'1486844891', u'1486844894']",^31.286344300000003^121.2105425^31.286360300000002^121.2103529^31.286363800000004^121.21020109999999^31.2863815^121.21005990000002^31.2864203^121.2099117^31.286474300000002^121.2097821
88,footway,169.85215243829225,"[u'1486844886', u'1486844885', u'1486844883', u'1486844878', u'1487361101', u'1486844872', u'1486844867', u'1486844865', u'1486844862', u'1486844857', u'1486844855', u'1486844858', u'1486844864']",^31.286344300000003^121.2105425^31.2863115^121.2106463^31.2862368^121.21078909999999^31.2861167^121.21091409999998^31.285994^121.2110067^31.285915600000003^121.2110659^31.2857461^121.21123529999998^31.2856755^121.21132^31.2856297^121.2114188^31.2855802^121.21156^31.2855696^121.2117047^31.285590799999998^121.2118318^31.285636699999998^121.2119412
89,footway,169.8521524383036,"[u'1486844864', u'1486844858', u'1486844855', u'1486844857', u'1486844862', u'1486844865', u'1486844867', u'1486844872', u'1487361101', u'1486844878', u'1486844883', u'1486844885', u'1486844886']",^31.285636699999998^121.2119412^31.285590799999998^121.2118318^31.2855696^121.2117047^31.2855802^121.21156^31.2856297^121.2114188^31.2856755^121.21132^31.2857461^121.21123529999998^31.285915600000003^121.2110659^31.285994^121.2110067^31.2861167^121.21091409999998^31.2862368^121.21078909999999^31.2863115^121.2106463^31.286344300000003^121.2105425
90,footway,76.46145991712521,"[u'1486844864', u'1487351338', u'1487351340']",^31.285636699999998^121.2119412^31.285738800000004^121.21206000000001^31.2861869^121.21242179999999
91,footway,76.46145991733492,"[u'1487351340', u'1487351338', u'1486844864']",^31.2861869^121.21242179999999^31.285738800000004^121.21206000000001^31.285636699999998^121.2119412
92,footway,42.51835428664575,"[u'1486844896', u'1486844895', u'1486844886']",^31.2866984^121.2106969^31.2864706^121.21056019999999^31.286344300000003^121.2105425
93,footway,42.518354286734855,"[u'1486844886', u'1486844895', u'1486844896']",^31.286344300000003^121.2105425^31.2864706^121.21056019999999^31.2866984^121.2106969
