id,oneway,category,nodes
94,False,footway,"[u'1486844886', u'1486844884', u'1486844880', u'1486844877', u'1486844875', u'1486844871', u'1486844866', u'1486844859', u'1486844853', u'1486844852', u'1486844847', u'1486844844', u'1486844843', u'1486844842', u'1486844836', u'1486844830']"
95,False,footway,"[u'1486844830', u'1486844836', u'1486844842', u'1486844843', u'1486844844', u'1486844847', u'1486844852', u'1486844853', u'1486844859', u'1486844866', u'1486844871', u'1486844875', u'1486844877', u'1486844880', u'1486844884', u'1486844886']"
96,False,footway,"[u'1486844830', u'1486844826', u'1486844825', u'1486844824', u'1486844823', u'1486844821', u'1486844820']"
97,False,footway,"[u'1486844820', u'1486844821', u'1486844823', u'1486844824', u'1486844825', u'1486844826', u'1486844830']"
98,False,footway,"[u'1486844830', u'1486844831', u'1486844832', u'1486844833', u'1486844835', u'1486844837', u'1486844838']"
99,False,footway,"[u'1486844838', u'1486844837', u'1486844835', u'1486844833', u'1486844832', u'1486844831', u'1486844830']"
100,False,service,"[u'2696131839', u'1486922518']"
101,False,service,"[u'1486922518', u'2696131839']"
102,False,service,"[u'1486922518', u'1486922519', u'1486922517', u'2696131837', u'1486922515']"
103,False,service,"[u'1486922515', u'2696131837', u'1486922517', u'1486922519', u'1486922518']"
104,False,service,"[u'1486922515', u'1486922514', u'1486922512']"
105,False,service,"[u'1486922512', u'1486922514', u'1486922515']"
106,False,service,"[u'1486922512', u'2696131838', u'1486922510']"
107,False,service,"[u'1486922510', u'2696131838', u'1486922512']"
108,False,service,"[u'1486922510', u'1486922508', u'1486922506', u'1486922502', u'1486922501', u'1486922500']"
109,False,service,"[u'1486922500', u'1486922501', u'1486922502', u'1486922506', u'1486922508', u'1486922510']"
110,False,service,"[u'1486922500', u'1486922503', u'1486922504', u'1486922505']"
111,False,service,"[u'1486922505', u'1486922504', u'1486922503', u'1486922500']"
112,False,service,"[u'1486922505', u'1487328537']"
113,False,service,"[u'1487328537', u'1486922505']"
114,False,service,"[u'1487328537', u'1486922509', u'1486922511', u'1486922513', u'1486922516']"
115,False,service,"[u'1486922516', u'1486922513', u'1486922511', u'1486922509', u'1487328537']"
116,False,service,"[u'1486922516', u'2696131839']"
117,False,service,"[u'2696131839', u'1486922516']"
118,False,service,"[u'1759597996', u'1486922498']"
119,False,service,"[u'1486922498', u'1759597996']"
120,False,service,"[u'1486922510', u'1487066351']"
121,False,service,"[u'1487066351', u'1486922510']"
122,False,service,"[u'1759597882', u'1759597815', u'1759597817', u'1759597665', u'1759597895', u'1759597583', u'1759597719', u'1759597676', u'1759597902', u'1759598199', u'1759597862', u'1759597504', u'1759597533', u'1759597774', u'1759597855']"
123,False,service,"[u'1759597855', u'1759597774', u'1759597533', u'1759597504', u'1759597862', u'1759598199', u'1759597902', u'1759597676', u'1759597719', u'1759597583', u'1759597895', u'1759597665', u'1759597817', u'1759597815', u'1759597882']"
124,False,service,"[u'1487066351', u'1487066347']"
125,False,service,"[u'1487066347', u'1487066351']"
