origin_id,lat,lon,new_id
368906068,31.2906170,121.2185829,0
499158740,31.2874178,121.1973003,1
499158746,31.2874739,121.1981567,2
499158754,31.2874220,121.1996538,3
499158759,31.2871701,121.2011454,4
499158764,31.2868806,121.2021130,5
499158768,31.2865055,121.2030370,6
499158775,31.2858191,121.2042977,7
499158780,31.2855488,121.2046891,8
499158783,31.2791592,121.2132000,9
499158786,31.2782308,121.2146911,10
625789901,31.2848908,121.2082387,11
625789923,31.2884885,121.2187802,12
625789925,31.2859423,121.2183671,13
625789927,31.2844972,121.2174928,14
1187044372,31.2792940,121.2133085,15
1187044390,31.2850803,121.2053068,16
1187044507,31.2785316,121.2144677,17
1187044726,31.2856723,121.2047760,18
1187044733,31.2837590,121.2073371,19
1187044749,31.2792278,121.2133993,20
1187044775,31.2783973,121.2143694,21
1187044863,31.2851959,121.2054268,22
1187044881,31.2788263,121.2139908,23
1187044978,31.2853859,121.2051680,24
1187044987,31.2790962,121.2132844,25
1187045087,31.2786805,121.2138784,26
1187045164,31.2844055,121.2064661,27
1187045165,31.2852686,121.2050544,28
1187045195,31.2783553,121.2147809,29
1187061149,31.2874013,121.2006897,30
1187061157,31.2874744,121.1986552,31
1187061161,31.2876037,121.1986522,32
1187061162,31.2859205,121.2043947,33
1187061170,31.2870377,121.2016187,34
1187061174,31.2875508,121.1996705,35
1187061177,31.2874582,121.1991667,36
1187061181,31.2875969,121.1981466,37
1187061183,31.2868291,121.2026482,38
1187061184,31.2872893,121.2011887,39
1187061187,31.2860647,121.2039025,40
1187061194,31.2861680,121.2039889,41
1187061201,31.2873577,121.2001551,42
1187061210,31.2874833,121.2001813,43
1187061211,31.2869992,121.2021628,44
1187061213,31.2874433,121.1976670,45
1187061218,31.2862983,121.2034787,46
1187061221,31.2875899,121.1991639,47
1187061223,31.2866254,121.2031070,48
1187061232,31.2872693,121.2006550,49
1187061236,31.2875735,121.1976476,50
1187061243,31.2871604,121.2016733,51
1187061253,31.2864078,121.2035523,52
1187061255,31.2875393,121.1972009,53
1187061261,31.2867010,121.2025810,54
1210131620,31.4260390,121.2847121,55
1210131781,31.4255571,121.2786193,56
1210131982,31.4224890,121.2641533,57
1210132013,31.4256062,121.2813109,58
1210132032,31.4205292,121.2585878,59
1210132237,31.4223819,121.2651450,60
1210132342,31.4227685,121.2626021,61
1210132457,31.4212330,121.2619160,62
1210132474,31.4263578,121.2855157,63
1210132581,31.4254285,121.2748091,64
1210132646,31.4252241,121.2670763,65
1210132758,31.4194181,121.2586193,66
1210132784,31.4253225,121.2709266,67
1210132794,31.4256425,121.2837545,68
1219325693,31.3301235,121.2044167,69
1219325707,31.3111326,121.2112868,70
1219325744,31.4020772,121.2178220,71
1219325775,31.3019894,121.2081844,72
1219325792,31.3443604,121.2085655,73
1219325826,31.3272174,121.2035411,74
1219325840,31.3986121,121.2096261,75
1219325861,31.4125538,121.2479027,76
1219325865,31.3021693,121.2047534,77
1219325875,31.3168127,121.2091268,78
1219325901,31.4104742,121.2347128,79
1219325932,31.3958882,121.2020994,80
1219325944,31.4111477,121.2394663,81
1219325945,31.3696276,121.2019040,82
1219325979,31.2977862,121.2076174,83
1219325989,31.3697879,121.2013708,84
1219325996,31.3660583,121.2029408,85
1219325997,31.4089372,121.2308216,86
1219326001,31.3840497,121.1952061,87
1219326003,31.3289422,121.2040302,88
1219326011,31.3096893,121.2103741,89
1219326021,31.3130337,121.2120908,90
1219326033,31.3423474,121.2073291,91
1219326048,31.4042832,121.2256787,92
1219326052,31.3238843,121.2049539,93
1219326070,31.3988267,121.2089915,94
1219326091,31.4000464,121.2167517,95
1219326116,31.3184203,121.2034473,96
1219326149,31.4076657,121.2270166,97
1219326155,31.3845657,121.1941579,98
1219326157,31.3315637,121.2044275,99
1219326169,31.3090891,121.2097258,100
1219326192,31.3130592,121.2113401,101
1219326194,31.4039960,121.2214519,102
1219326197,31.3387622,121.2061983,103
1219326218,31.3442075,121.2079332,104
1219326221,31.4055801,121.2271402,105
1219326233,31.3247476,121.2038517,106
1219326240,31.3726821,121.2018979,107
1219326261,31.4115923,121.2484381,108
1219326270,31.3538453,121.2055773,109
1219326316,31.3203142,121.2016021,110
1219326360,31.3271423,121.2024125,111
1219326362,31.3659789,121.2024970,112
1219326370,31.3114322,121.2062315,113
1219326381,31.3781913,121.1961746,114
1219326384,31.3309216,121.2036270,115
1219326387,31.3052776,121.2057198,116
1219326409,31.3547896,121.2046174,117
1219326410,31.3930329,121.1969526,118
1219326412,31.4032107,121.2209859,119
1219326424,31.3351649,121.2050352,120
1219326439,31.4032514,121.2237779,121
1219326442,31.3210459,121.2066301,122
1219326461,31.3492279,121.2070233,123
1219326483,31.4000351,121.2136335,124
1219326484,31.4144905,121.2516296,125
1219326500,31.3948131,121.2020213,126
1219326503,31.3579380,121.2037744,127
1219326520,31.2998447,121.2081643,128
1219326538,31.3655454,121.2020299,129
1219326540,31.4092262,121.2295486,130
1219326546,31.3788005,121.1963481,131
1219326562,31.4173816,121.2549356,132
1219326563,31.3036383,121.2052297,133
1219326573,31.3930927,121.1965310,134
1219326593,31.3055431,121.2097532,135
1219326634,31.3459273,121.2085055,136
1219326637,31.2983605,121.2058903,137
1219326651,31.4004426,121.2133508,138
1219326664,31.3839263,121.1946942,139
1219326690,31.4120917,121.2392961,140
1219326714,31.3025188,121.2091722,141
1219326728,31.3971275,121.2055387,142
1219326731,31.3624504,121.2035088,143
1219326736,31.3792872,121.1965084,144
1219326770,31.3521238,121.2058193,145
1219326774,31.4110296,121.2315555,146
1219326780,31.3398033,121.2071188,147
1219326789,31.3074102,121.2105236,148
1219326797,31.4022025,121.2218302,149
1219326807,31.3430824,121.2081296,150
1219326815,31.3561998,121.2050741,151
1219326826,31.3211848,121.1991778,152
1219326844,31.3966184,121.2071031,153
1219326847,31.3459550,121.2095685,154
1219326850,31.2976590,121.2078781,155
1219326891,31.3167325,121.2085553,156
1219326892,31.4153613,121.2510698,157
1219326896,31.3808627,121.1939763,158
1219326923,31.3931532,121.1988776,159
1219326924,31.4108178,121.2373161,160
1219326939,31.3019508,121.2087498,161
1219326951,31.3974526,121.2050910,162
1219326965,31.3621502,121.2031233,163
1219326976,31.3777345,121.1977652,164
1219327011,31.3534295,121.2062966,165
1219327027,31.3065367,121.2061446,166
1219327031,31.3358819,121.2058344,167
1219327047,31.3109113,121.2114972,168
1219327053,31.3431620,121.2086838,169
1219327088,31.3459444,121.2090803,170
1219327089,31.4114163,121.2451837,171
1219327115,31.3810160,121.1944997,172
1219327125,31.3129353,121.2118540,173
1219327131,31.3945296,121.1971793,174
1219327143,31.3017571,121.2076245,175
1219327152,31.2999292,121.2084551,176
1219327173,31.3613361,121.2027262,177
1219327176,31.4068751,121.2285404,178
1219327188,31.3757694,121.1988124,179
1219327195,31.3499819,121.2072707,180
1219327197,31.4181336,121.2542941,181
1219327208,31.3009041,121.2043228,182
1219327213,31.3922636,121.1971602,183
1219327228,31.3360357,121.2063902,184
1219327234,31.3043780,121.2083695,185
1219327246,31.4011458,121.2198654,186
1219327252,31.3580488,121.2042282,187
1219327273,31.4123344,121.2436477,188
1219327294,31.3987190,121.2130088,189
1219327308,31.3811291,121.1949954,190
1219327314,31.3942008,121.1974204,191
1219327326,31.3046233,121.2097428,192
1219327327,31.3881226,121.1943323,193
1219327340,31.3209625,121.2060823,194
1219327343,31.3577576,121.2032923,195
1219327345,31.3158471,121.2032476,196
1219327356,31.3752627,121.1985666,197
1219327379,31.3691394,121.2024408,198
1219327381,31.4101152,121.2320832,199
1219327396,31.3332615,121.2054669,200
1219327403,31.3061334,121.2093546,201
1219327479,31.3096086,121.2072814,202
1219327481,31.3881929,121.1955049,203
1219327484,31.3129554,121.2108026,204
1219327502,31.3396284,121.2075419,205
1219327509,31.3909495,121.1966074,206
1219327528,31.3956676,121.2043396,207
1219327529,31.3603830,121.2038448,208
1219327541,31.3725306,121.2014390,209
1219327542,31.4058446,121.2249460,210
1219327548,31.3753823,121.1997121,211
1219327563,31.2981859,121.2066762,212
1219327566,31.4160761,121.2534069,213
1219327585,31.3510631,121.2073380,214
1219327587,31.3882977,121.1949872,215
1219327592,31.3311180,121.2047833,216
1219327605,31.3076503,121.2103150,217
1219327617,31.4015453,121.2178522,218
1219327652,31.3447134,121.2091894,219
1219327659,31.3271769,121.2029841,220
1219327676,31.3976623,121.2100340,221
1219327707,31.4115561,121.2355229,222
1219327716,31.3136955,121.2046945,223
1219327728,31.3959896,121.2011976,224
1219327729,31.4112620,121.2417766,225
1219327730,31.3723142,121.2009527,226
1219327732,31.4054622,121.2252107,227
1219327747,31.2980395,121.2071019,228
1219327762,31.3483086,121.2085397,229
1219327764,31.4096204,121.2292662,230
1220903173,31.2861865,121.1952809,231
1220903247,31.2862250,121.1968683,232
1220903538,31.2861485,121.2007114,233
1220903718,31.2956898,121.2042105,234
1220903782,31.2867160,121.1974423,235
1220903902,31.2864948,121.1888062,236
1220904013,31.2867985,121.1929468,237
1220904132,31.2929483,121.2002067,238
1220904169,31.2857393,121.2001272,239
1220904278,31.2864950,121.1965038,240
1220904419,31.2948906,121.2041463,241
1220904464,31.2860136,121.1993689,242
1220904506,31.2964559,121.2060228,243
1220904581,31.2869800,121.1954454,244
1220904690,31.2866453,121.1909357,245
1220904768,31.2842530,121.1955469,246
1220904810,31.2916885,121.2009713,247
1220904888,31.2846936,121.1998674,248
1220905445,31.2908684,121.1982249,249
1220905497,31.2864536,121.1974784,250
1220905564,31.2934626,121.2024566,251
1220905650,31.2841613,121.1977331,252
1220905735,31.2884146,121.1978098,253
1220905989,31.2871392,121.1993634,254
1220906141,31.2863436,121.1869139,255
