id,from,to,cost
377,1739,1749,46.623735546117096
378,1689,1749,36.668299777182504
379,1749,1689,36.66829977706795
380,1745,1610,36.74084439726228
381,1610,1745,36.74084439688757
382,1990,1991,38.67299800021992
383,1991,1990,38.67299800038109
384,723,722,38.339647483995215
385,722,723,38.33964748430596
386,723,1427,101.29242143756571
387,1427,723,101.29242143784084
388,722,747,11.929416959988826
389,747,722,11.929416960170212
390,722,710,272.0609358829374
391,710,722,272.060935883224
392,710,812,432.08316287443773
393,812,710,432.08316287562315
394,2122,2126,17.933891704155815
395,2126,2122,17.933891704619825
396,2126,2129,16.930330670424233
397,2129,2126,16.930330670871047
398,2131,2132,96.89989576291669
399,2132,2131,96.89989576298773
400,2132,2126,50.635026810969535
401,2126,2132,50.63502681098576
402,2126,1595,11.306194697817734
403,1595,2126,11.30619469784127
404,2132,2133,72.42021830218091
405,2133,2132,72.42021830210076
406,2312,1461,77.91703199621234
407,1461,2312,77.91703199625668
408,2311,2312,25.163077596623612
409,2312,2311,25.163077596631688
410,2306,2307,17.324381580907485
411,2307,2306,17.324381581020862
412,2307,2311,87.05706067125385
413,2311,2307,87.0570606712183
414,1708,2594,37.03531893269545
415,2594,1708,37.03531893265904
416,2594,2595,22.496355237658953
417,2595,2594,22.49635523809311
418,2595,1738,10.105135490000976
419,1738,2595,10.10513548952432
420,2669,2668,190.10862908538792
421,2668,2669,190.10862908526641
422,2668,2657,202.0626360120552
423,2657,2668,202.0626360122047
424,2657,2658,126.10538498503132
425,2658,2657,126.10538498519476
426,2658,2659,6.7246520463273765
427,2659,2658,6.72465204623613
428,812,813,9.79241698005595
429,813,812,9.792416980066012
430,813,1990,226.056039508093
431,1990,813,226.05603950780915
432,1990,1544,518.9797559545478
433,1544,1990,518.9797559547185
434,1544,3774,90.79088302045487
435,3774,1544,90.79088302056937
436,3774,1605,29.364508005974322
437,1605,3774,29.36450800608621
438,1605,1654,222.00055994934996
439,1654,1605,222.00055994934525
440,1654,1549,10.93998742505228
441,1549,1654,10.939987425087656
442,1549,1447,178.47922573314617
443,1447,1549,178.47922573375405
444,1486,1619,29.608470185702533
445,1619,1486,29.608470186007672
446,1619,1451,674.1893990624959
447,1451,1619,674.1893990633133
448,2307,3497,99.99572752159507
449,3497,2307,99.99572752186585
450,3497,1492,117.84069365675288
451,1492,3497,117.84069365671436
452,1492,1731,18.35277207568995
453,1731,1492,18.352772076008165
454,3773,3774,123.56029683812704
455,3774,3773,123.56029683843443
456,3955,3972,48.50929806327847
457,3972,3955,48.509298063798845
458,3972,3956,58.71208852458701
459,3956,3972,58.71208852424353
460,3957,3971,138.4969025140795
461,3971,3957,138.4969025143435
462,3957,3972,19.743619351055905
463,3972,3957,19.743619350898054
464,1541,1694,137.41665433391063
465,1694,1541,137.41665433426178
466,1694,1512,129.7974622371051
467,1512,1694,129.79746223751403
468,1512,1535,8.355237988454558
469,1535,1512,8.355237988264108
470,1541,2668,118.30976624296451
471,2668,1541,118.30976624296551
472,2668,1690,27.154004361880432
473,1690,2668,27.154004361870925
474,4141,4143,10.213200825697514
475,4143,4141,10.213200825697072
476,4143,4162,394.8520160438701
477,4162,4143,394.85201604360657
478,4068,4058,186.72583462930598
479,4058,4068,186.72583462937095
480,4058,4167,731.1529826772778
481,4167,4058,731.1529826772687
482,4167,4039,196.6672840564053
483,4039,4167,196.66728405640893
484,4119,4110,496.88091515171305
485,4110,4119,496.8809151525296
486,4161,1478,389.3059328768181
487,1478,4161,389.3059328767054
488,4043,4168,193.96307054450276
489,4168,4043,193.96307054448695
490,4168,4560,728.9650022381076
491,4560,4168,728.9650022380632
492,4560,4069,184.8953130014841
493,4069,4560,184.8953130013112
494,4148,4161,34.93321899000243
495,4161,4148,34.933218989961674
496,4042,4043,29.07811054106639
497,4043,4042,29.07811054107424
498,4162,4163,34.07437702833813
499,4163,4162,34.07437702835499
500,4039,4038,28.670444347462325
501,4038,4039,28.67044434747251
502,4163,4165,71.90645923743892
503,4165,4163,71.90645923748569
504,4165,4042,222.0032320445182
505,4042,4165,222.00323204453383
506,4038,4151,219.62226567822842
507,4151,4038,219.62226567821915
508,4151,4148,79.31543929538836
509,4148,4151,79.31543929539467
510,4173,4168,383.55176353179536
511,4168,4173,383.5517635326562
512,4168,4167,13.037641405368044
513,4167,4168,13.037641405933712
514,4151,4165,15.760620974207125
515,4165,4151,15.760620974190836
516,4165,4174,303.18988283564374
517,4174,4165,303.1898828357758
518,4215,1501,111.40486550096958
519,1501,4215,111.40486550063032
520,1485,4221,15.932335142712093
521,4221,1485,15.932335143059644
522,1577,808,265.50065075689133
523,808,1577,265.50065075689133
524,808,4222,85.11674893279714
525,4222,808,85.11674893279714
526,1445,2621,244.253859473796
527,2621,1445,244.25385947465583
528,4546,4549,81.4754764398863
529,4549,4546,81.47547643983059
530,4549,4551,456.4775556005541
531,4551,4549,456.47755560024666
532,4561,4549,922.4022800689277
533,4549,4561,922.4022800686964
534,4058,4560,10.23721288888549
535,4560,4058,10.237212888770092
536,334,9,748.5481687633403
537,9,334,748.5481687632736
538,9,25,10.648177805513518
539,25,9,10.648177805586318
540,16,334,249.40226286530012
541,334,16,249.40226286559925
542,316,15,102.25564602736937
543,15,316,102.25564602716528
544,293,25,300.07354221181333
545,25,293,300.07354221181714
546,334,19,18.54673872177305
547,19,334,18.546738722161127
548,366,334,414.9988506959181
549,334,366,414.9988506962069
