id,from,to,cost,nodes
282,1759597638,1759597561,112.67387209255128,"[u'1759597638', u'1759597897', u'1759597565', u'1759597561']"
283,1759597561,1759597638,112.67387209249634,"[u'1759597561', u'1759597565', u'1759597897', u'1759597638']"
284,1486922483,1759597664,146.93687677816354,"[u'1486922483', u'1759597816', u'1759597809', u'1759598194', u'1759598103', u'1759597627', u'1759597664']"
285,1759597664,1486922483,146.93687677709335,"[u'1759597664', u'1759597627', u'1759598103', u'1759598194', u'1759597809', u'1759597816', u'1486922483']"
286,1759598123,1759597666,208.37637806444118,"[u'1759598123', u'1759597757', u'1759597971', u'1759597610', u'1759597666']"
287,1759597666,1759598123,208.3763780643292,"[u'1759597666', u'1759597610', u'1759597971', u'1759597757', u'1759598123']"
288,1759597666,1759598029,13.564376022548032,"[u'1759597666', u'1759598029']"
289,1759598029,1759597666,13.564376022644407,"[u'1759598029', u'1759597666']"
290,1759598029,1759597636,121.42505969866572,"[u'1759598029', u'1759597636']"
291,1759597636,1759598029,121.42505969863262,"[u'1759597636', u'1759598029']"
292,1759597720,1759597941,358.54259816444085,"[u'1759597720', u'2695865752', u'2695865748', u'2719031559', u'2719031560', u'2719031561', u'2719031562', u'2719031563', u'2719031564', u'2719031565', u'2719031566', u'2695865749', u'1797203225', u'2695865750', u'2695865751', u'3880367292', u'1759597941']"
293,1759597941,1759597720,358.54259816283025,"[u'1759597941', u'3880367292', u'2695865751', u'2695865750', u'1797203225', u'2695865749', u'2719031566', u'2719031565', u'2719031564', u'2719031563', u'2719031562', u'2719031561', u'2719031560', u'2719031559', u'2695865748', u'2695865752', u'1759597720']"
294,1759597893,1759597584,9.533842059878909,"[u'1759597893', u'1759597584']"
295,1759597584,1759597893,9.533842060116669,"[u'1759597584', u'1759597893']"
296,1759597743,1759597808,27.872490207142132,"[u'1759597743', u'1759597808']"
297,1759597808,1759597743,27.872490207019165,"[u'1759597808', u'1759597743']"
298,1759597891,1759598158,148.9443193369159,"[u'1759597891', u'1759598158']"
299,1759598158,1759597891,148.94431933692664,"[u'1759598158', u'1759597891']"
300,1759598158,2719194247,75.36549036896332,"[u'1759598158', u'2719194247']"
301,2719194247,1759598158,75.36549036896443,"[u'2719194247', u'1759598158']"
302,2719194247,1759597838,68.97535339849257,"[u'2719194247', u'1759597838']"
303,1759597838,2719194247,68.97535339849242,"[u'1759597838', u'2719194247']"
304,1759597542,1759598224,99.33370886051246,"[u'1759597542', u'1759598224']"
305,1759598224,1759597542,99.33370886039567,"[u'1759598224', u'1759597542']"
306,1759598224,1759597664,127.25210433970713,"[u'1759598224', u'1759597664']"
307,1759597664,1759598224,127.25210433962827,"[u'1759597664', u'1759598224']"
308,1759597664,1487328506,444.8208257671663,"[u'1759597664', u'2717808059', u'1759598095', u'1759597856', u'1759597885', u'1759597926', u'1759597521', u'1759597548', u'1759597930', u'1759597582', u'1759597822', u'1759597916', u'1487328506']"
309,1487328506,1759597664,444.8208257674393,"[u'1487328506', u'1759597916', u'1759597822', u'1759597582', u'1759597930', u'1759597548', u'1759597521', u'1759597926', u'1759597885', u'1759597856', u'1759598095', u'2717808059', u'1759597664']"
310,1759598009,1759597836,144.12152214495987,"[u'1759598009', u'1759597836']"
311,1759597836,1759598009,144.12152214455736,"[u'1759597836', u'1759598009']"
312,1759597981,1759597889,24.774274746786887,"[u'1759597981', u'1759597889']"
313,1759597889,1759597981,24.774274746199314,"[u'1759597889', u'1759597981']"
314,1759597889,1759597953,63.73591069023483,"[u'1759597889', u'1759597850', u'1759597558', u'1759597606', u'1759597953']"
315,1759597953,1759597889,63.73591068985978,"[u'1759597953', u'1759597606', u'1759597558', u'1759597850', u'1759597889']"
316,1759597953,1759597623,58.90027826968638,"[u'1759597953', u'1759597634', u'1759597804', u'1759597849', u'1759597623']"
317,1759597623,1759597953,58.9002782692716,"[u'1759597623', u'1759597849', u'1759597804', u'1759597634', u'1759597953']"
